interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,vote_trump,voteintention,agegroup,race,incomelevel,educationl,workingstatus
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Male,South,Not Hispanic,"Black, or African American","Less than $14,999",High school graduate,FL,FL20,19,0,Biden,18-29,Black,Lower income,High School Graduate,Working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Other:,The United States,Male,Midwest,Not Hispanic,White,"Less than $14,999","Completed some college, but no degree",MI,MI13,62,0,Biden,55-64,White,Lower income,Some College,Not working
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,West,Not Hispanic,White,"$40,000 to $44,999",Associate Degree,CA,CA26,30,0,Biden,30-44,White,Middle income,Some College,Working
Only now and then,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"Less than $14,999","Completed some college, but no degree",IA,IA04,19,0,Biden,18-29,White,Lower income,Some College,Working
Only now and then,Registered,"Did not vote, but was eligible",Not sure,Joe Biden,Not Sure,Unemployed or temporarily on layoff,The United States,Female,Northeast,Not Hispanic,White,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",MA,MA08,22,0,Biden,18-29,White,Lower income,College Degree,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Conservative,Retired,The United States,Female,West,Not Hispanic,White,"$75,000 to $79,999",Masters degree,CA,,66,0,Biden,65+,White,Middle income,Masters degree,Not working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Liberal,Part-time employed,The United States,Male,South,Not Hispanic,White,"Less than $14,999",Completed some high school,TN,TN01,38,1,Trump,30-44,White,Lower income,High School Graduate,Working
Some of the time,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Moderate,Homemaker,The United States,Female,West,Not Hispanic,White,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",CA,CA26,45,0,Biden,45-54,White,Upper income,College Degree,Not working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",MO,MO06,25,0,Biden,18-29,White,Middle income,College Degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Homemaker,The United States,Female,Midwest,Not Hispanic,White,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",OH,OH12,35,1,Trump,30-44,White,Middle income,College Degree,Not working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Unemployed or temporarily on layoff,The United States,Male,South,Mexican,Some other race,"Less than $14,999",Associate Degree,TX,TX15,25,0,Biden,18-29,Others,Lower income,Some College,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Male,South,Not Hispanic,"Black, or African American","$125,000 to $149,999",High school graduate,MD,MD05,70,0,Biden,65+,Black,Upper income,High School Graduate,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Female,West,Not Hispanic,White,"$45,000 to $49,999","Completed some college, but no degree",AZ,AZ06,82,0,Biden,65+,White,Middle income,Some College,Not working
Some of the time,Registered,"Did not vote, but was eligible",Not sure,Joe Biden,Moderate,Full-time employed,The United States,Male,West,Not Hispanic,White,"Less than $14,999",High school graduate,CA,CA18,20,0,Biden,18-29,White,Lower income,High School Graduate,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,Midwest,Not Hispanic,White,"$50,000 to $54,999","Completed some college, but no degree",WI,WI04,56,1,Trump,55-64,White,Middle income,Some College,Not working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,"Black, or African American","$30,000 to $34,999",Masters degree,AL,AL07,30,0,Biden,30-44,Black,Lower income,Masters degree,Working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$30,000 to $34,999","Completed some college, but no degree",SC,SC04,51,1,Trump,45-54,White,Lower income,Some College,Working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Homemaker,The United States,Female,West,Not Hispanic,White,"$45,000 to $49,999",High school graduate,ID,ID01,31,1,Trump,30-44,White,Middle income,High School Graduate,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,Female,South,Venezuelan,White,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",LA,LA06,34,1,Trump,30-44,White,Upper income,College Degree,Working
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$50,000 to $54,999","Completed some college, but no degree",FL,,30,1,Trump,30-44,White,Middle income,Some College,Working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Homemaker,The United States,Male,Midwest,Not Hispanic,"Black, or African American","$45,000 to $49,999",High school graduate,MO,MO01,31,0,Biden,30-44,Black,Middle income,High School Graduate,Not working
Hardly at all,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Very Conservative,Other:,The United States,Male,Midwest,Not Hispanic,White,"Less than $14,999",High school graduate,MN,MN01,20,1,Trump,18-29,White,Lower income,High School Graduate,Not working
Only now and then,Registered,Someone else:,"Yes, I will vote",Someone else,Not Sure,Full-time employed,The United States,Male,West,Mexican,White,"$60,000 to $64,999",Masters degree,WA,WA02,20,0,Biden,18-29,White,Middle income,Masters degree,Working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Moderate,Full-time employed,The United States,Female,Northeast,Not Hispanic,Asian (Chinese),"$75,000 to $79,999",Associate Degree,NJ,NJ06,52,0,Biden,45-54,Others,Middle income,Some College,Working
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Male,Northeast,Not Hispanic,White,"$20,000 to $24,999","Completed some college, but no degree",PA,PA08,66,1,Trump,65+,White,Lower income,Some College,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,Male,South,Not Hispanic,White,"$250,000 and above","College Degree (such as B.A., B.S.)",VA,VA07,37,1,Trump,30-44,White,Upper income,College Degree,Working
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Male,South,Not Hispanic,White,"Less than $14,999","Completed some college, but no degree",FL,FL12,69,1,Trump,65+,White,Lower income,Some College,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Male,West,Not Hispanic,White,"$150,000 to $174,999",Masters degree,CA,CA30,42,0,Biden,30-44,White,Upper income,Masters degree,Working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Moderate,Unemployed or temporarily on layoff,The United States,Female,Midwest,Not Hispanic,"Black, or African American","Less than $14,999","Completed some college, but no degree",IL,IL02,46,0,Biden,45-54,Black,Lower income,Some College,Not working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Female,West,Not Hispanic,White,"$20,000 to $24,999",Completed some high school,OR,OR04,66,1,Trump,65+,White,Lower income,High School Graduate,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Female,Northeast,Not Hispanic,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NJ,NJ05,77,0,Biden,65+,White,Middle income,College Degree,Not working
Some of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Conservative,Part-time employed,The United States,Female,South,Not Hispanic,White,"$100,000 to $124,999",Masters degree,SC,SC04,41,1,Trump,30-44,White,Middle income,Masters degree,Working
Most of the time,Registered,Donald Trump,"No, I will not vote but I am eligible",Donald Trump,Liberal,Full-time employed,The United States,Male,West,Not Hispanic,White,"$125,000 to $149,999",Masters degree,CA,CA12,33,1,Trump,30-44,White,Upper income,Masters degree,Working
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Moderate,Self-employed,The United States,Female,Northeast,Not Hispanic,White,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",PA,PA14,44,0,Biden,30-44,White,Middle income,College Degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Male,West,Not Hispanic,White,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",WA,WA03,75,0,Biden,65+,White,Middle income,College Degree,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,South,Other Hispanic,White,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",FL,FL16,35,0,Biden,30-44,White,Middle income,College Degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,Male,West,Not Hispanic,White,"$100,000 to $124,999",Masters degree,CA,CA50,45,1,Trump,45-54,White,Middle income,Masters degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$150,000 to $174,999",Masters degree,NY,NY11,40,1,Trump,30-44,White,Upper income,Masters degree,Working
Only now and then,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,Retired,The United States,Female,South,Not Hispanic,White,"$55,000 to $59,999","Completed some college, but no degree",TX,TX18,67,0,Biden,65+,White,Middle income,Some College,Not working
Most of the time,Registered,Don't recall,"Yes, I will vote",Donald Trump,Moderate,Unemployed or temporarily on layoff,The United States,Female,South,Mexican,White,"Less than $14,999",Completed some high school,TX,TX34,38,1,Trump,30-44,White,Lower income,High School Graduate,Not working
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,The United States,Female,South,Spanish,White,"$30,000 to $34,999","Completed some college, but no degree",TX,TX34,28,0,Biden,18-29,White,Lower income,Some College,Not working
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,South,Not Hispanic,White,"$70,000 to $74,999",Masters degree,FL,FL08,67,1,Trump,65+,White,Middle income,Masters degree,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,Female,West,Not Hispanic,White,"$40,000 to $44,999","Completed some college, but no degree",CA,CA20,44,0,Biden,30-44,White,Middle income,Some College,Not working
Most of the time,Registered,Don't recall,"Yes, I will vote",I am not sure/don't know,Moderate,Retired,The United States,Male,Midwest,Not Hispanic,White,"$30,000 to $34,999",Completed some high school,OH,OH07,41,0,Biden,30-44,White,Lower income,High School Graduate,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Self-employed,The United States,Male,West,Not Hispanic,"Black, or African American","Less than $14,999",High school graduate,CO,CO01,57,0,Biden,55-64,Black,Lower income,High School Graduate,Working
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Moderate,Part-time employed,The United States,Female,West,Not Hispanic,"Black, or African American","$85,000 to $89,999",Masters degree,CA,CA26,36,0,Biden,30-44,Black,Middle income,Masters degree,Working
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,"Black, or African American","$70,000 to $74,999","Completed some college, but no degree",FL,,24,0,Biden,18-29,Black,Middle income,Some College,Working
Only now and then,Registered,Gary Johnson,"Yes, I will vote",Someone else,Moderate,Part-time employed,The United States,Male,West,Not Hispanic,White,"$15,000 to $19,999",Completed some high school,CA,CA23,27,0,Biden,18-29,White,Lower income,High School Graduate,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Female,South,Not Hispanic,White,"$60,000 to $64,999","Completed some college, but no degree",MD,MD01,65,1,Trump,65+,White,Middle income,Some College,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$150,000 to $174,999","Completed some college, but no degree",TX,TX04,64,0,Biden,55-64,White,Upper income,Some College,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Part-time employed,The United States,Female,Northeast,Colombian,White,"Less than $14,999",Associate Degree,NY,NY12,20,1,Trump,18-29,White,Lower income,Some College,Working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Homemaker,The United States,Female,West,Not Hispanic,White,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",CA,CA45,32,1,Trump,30-44,White,Upper income,College Degree,Not working
Only now and then,Registered,Was not eligible to vote,"Yes, I will vote",Someone else,Liberal,Part-time employed,The United States,Female,Midwest,Not Hispanic,Some other race,"$85,000 to $89,999","Completed some college, but no degree",OH,OH14,19,0,Biden,18-29,Others,Middle income,Some College,Working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Self-employed,The United States,Male,Midwest,Mexican,White,"$45,000 to $49,999",Doctorate degree,OH,OH02,55,1,Trump,55-64,White,Middle income,Doctorate degree,Working
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",I am not sure/don't know,Very Liberal,Full-time employed,The United States,Male,Midwest,Not Hispanic,"Black, or African American","Less than $14,999","Completed some college, but no degree",IL,IL02,20,0,Biden,18-29,Black,Lower income,Some College,Working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,West,Not Hispanic,White,"$20,000 to $24,999","Completed some college, but no degree",CA,CA14,52,0,Biden,45-54,White,Lower income,Some College,Working
Only now and then,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Very Conservative,Part-time employed,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",IL,IL11,48,0,Biden,45-54,White,Middle income,College Degree,Working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,Male,South,Not Hispanic,White,"$100,000 to $124,999",High school graduate,NC,NC02,40,1,Trump,30-44,White,Middle income,High School Graduate,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Self-employed,The United States,Male,Midwest,Not Hispanic,White,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",IA,IA04,54,0,Biden,45-54,White,Upper income,College Degree,Working
Some of the time,Registered,Hillary Clinton,Not sure,Joe Biden,Conservative,Unemployed or temporarily on layoff,The United States,Female,West,Mexican,White,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",CA,CA39,55,0,Biden,55-64,White,Middle income,College Degree,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Unemployed or temporarily on layoff,The United States,Male,South,Not Hispanic,White,"$30,000 to $34,999",High school graduate,GA,GA01,78,1,Trump,65+,White,Lower income,High School Graduate,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Part-time employed,The United States,Female,South,Not Hispanic,"Black, or African American","Less than $14,999","Completed some college, but no degree",SC,SC03,37,0,Biden,30-44,Black,Lower income,Some College,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Male,Midwest,Not Hispanic,White,"$75,000 to $79,999",Associate Degree,OH,OH05,76,0,Biden,65+,White,Middle income,Some College,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$100,000 to $124,999",Masters degree,VA,VA11,41,0,Biden,30-44,White,Middle income,Masters degree,Working
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Male,Midwest,Not Hispanic,White,"Less than $14,999","Completed some college, but no degree",IN,IN03,71,0,Biden,65+,White,Lower income,Some College,Not working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,Male,South,Not Hispanic,White,"$150,000 to $174,999",Masters degree,GA,,40,1,Trump,30-44,White,Upper income,Masters degree,Working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Female,Northeast,Not Hispanic,White,"$125,000 to $149,999",High school graduate,MA,MA05,69,1,Trump,65+,White,Upper income,High School Graduate,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,White,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",MD,MD06,43,1,Trump,30-44,White,Upper income,College Degree,Working
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Donald Trump,Conservative,Homemaker,The United States,Female,Midwest,Not Hispanic,White,"$55,000 to $59,999",High school graduate,OH,OH05,37,1,Trump,30-44,White,Middle income,High School Graduate,Not working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$250,000 and above",Masters degree,NC,NC07,35,1,Trump,30-44,White,Upper income,Masters degree,Working
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,The United States,Female,Midwest,Not Hispanic,Asian (Asian Indian),"Less than $14,999","College Degree (such as B.A., B.S.)",WI,WI02,21,0,Biden,18-29,Others,Lower income,College Degree,Not working
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Full-time employed,The United States,Female,Midwest,Not Hispanic,"Black, or African American","Less than $14,999",High school graduate,IL,IL07,25,0,Biden,18-29,Black,Lower income,High School Graduate,Working
Some of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Liberal,Self-employed,The United States,Female,Northeast,Not Hispanic,"Black, or African American","$250,000 and above","College Degree (such as B.A., B.S.)",NY,NY10,30,0,Biden,30-44,Black,Upper income,College Degree,Working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Conservative,Part-time employed,The United States,Male,West,Mexican,Some other race,"$45,000 to $49,999","Completed some college, but no degree",CA,CA30,32,0,Biden,30-44,Others,Middle income,Some College,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,Northeast,Not Hispanic,White,"$100,000 to $124,999",Masters degree,NY,NY12,35,1,Trump,30-44,White,Middle income,Masters degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,Northeast,Mexican,White,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",NY,NY18,31,1,Trump,30-44,White,Middle income,College Degree,Working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,Female,South,Cuban,White,"$50,000 to $54,999","Completed some college, but no degree",FL,FL25,28,1,Trump,18-29,White,Middle income,Some College,Working
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,West,Other Hispanic,Some other race,"Less than $14,999",High school graduate,NV,NV01,18,0,Biden,18-29,Others,Lower income,High School Graduate,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Self-employed,The United States,Female,South,Not Hispanic,"Black, or African American","$30,000 to $34,999","Completed some college, but no degree",NC,NC04,28,0,Biden,18-29,Black,Lower income,Some College,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Male,Midwest,Not Hispanic,"Black, or African American","$30,000 to $34,999","Completed some college, but no degree",MI,MI14,65,0,Biden,65+,Black,Lower income,Some College,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,Female,West,Not Hispanic,White,"$50,000 to $54,999",Associate Degree,AZ,AZ04,59,1,Trump,55-64,White,Middle income,Some College,Working
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,Female,Midwest,Mexican,White,"$90,000 to $94,999","Completed some college, but no degree",MI,MI04,20,0,Biden,18-29,White,Middle income,Some College,Not working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,West,Argentinian,White,"$100,000 to $124,999",Masters degree,CA,CA37,29,0,Biden,18-29,White,Middle income,Masters degree,Working
Some of the time,Registered,Was not eligible to vote,"No, I am not eligible to vote",I am not sure/don't know,Not Sure,Student,The United States,Female,West,Mexican,Some other race,"Less than $14,999",High school graduate,CA,CA46,18,0,Biden,18-29,Others,Lower income,High School Graduate,Not working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,Another country,Male,West,Nicaraguan,White,"$85,000 to $89,999",Masters degree,CA,CA13,73,0,Biden,65+,White,Middle income,Masters degree,Not working
Only now and then,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,Male,West,Mexican,Some other race,"$100,000 to $124,999",Completed some high school,CA,CA26,18,0,Biden,18-29,Others,Middle income,High School Graduate,Not working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,"Black, or African American","$125,000 to $149,999","Completed some college, but no degree",TX,TX10,23,0,Biden,18-29,Black,Upper income,Some College,Not working
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Self-employed,The United States,Male,South,Not Hispanic,White,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",TX,TX24,44,0,Biden,30-44,White,Middle income,College Degree,Working
Only now and then,Registered,Gary Johnson,"Yes, I will vote",Someone else,Moderate,Full-time employed,The United States,Female,West,Spanish,Some other race,"$75,000 to $79,999",Associate Degree,OR,OR01,34,0,Biden,30-44,Others,Middle income,Some College,Working
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",I am not sure/don't know,Moderate,Part-time employed,The United States,Male,South,Mexican,White,"Less than $14,999",High school graduate,FL,FL07,25,0,Biden,18-29,White,Lower income,High School Graduate,Working
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Self-employed,The United States,Female,Midwest,Not Hispanic,White,"$30,000 to $34,999","Completed some college, but no degree",IN,IN06,54,1,Trump,45-54,White,Lower income,Some College,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,South,Not Hispanic,White,"$55,000 to $59,999","Completed some college, but no degree",FL,FL24,36,0,Biden,30-44,White,Middle income,Some College,Working
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,Another country,Male,Midwest,Venezuelan,White,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",MN,MN05,44,0,Biden,30-44,White,Middle income,College Degree,Working
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Very Liberal,Student,The United States,Female,South,Cuban,White,"$90,000 to $94,999","Completed some college, but no degree",FL,FL20,19,0,Biden,18-29,White,Middle income,Some College,Not working
Most of the time,Registered,Hillary Clinton,"No, I will not vote but I am eligible",Joe Biden,Moderate,Full-time employed,The United States,Female,West,Mexican,White,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",CA,CA16,26,0,Biden,18-29,White,Lower income,College Degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Unemployed or temporarily on layoff,The United States,Male,South,Not Hispanic,White,"Less than $14,999","Completed some college, but no degree",WV,WV03,34,1,Trump,30-44,White,Lower income,Some College,Not working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Male,Midwest,Not Hispanic,White,"Less than $14,999",Associate Degree,KS,KS01,69,1,Trump,65+,White,Lower income,Some College,Not working
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Female,West,Mexican,"Black, or African American","$20,000 to $24,999","College Degree (such as B.A., B.S.)",CA,CA16,25,0,Biden,18-29,Black,Lower income,College Degree,Working
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Retired,The United States,Female,South,Not Hispanic,White,"$15,000 to $19,999",High school graduate,KY,KY02,70,0,Biden,65+,White,Lower income,High School Graduate,Not working
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,Student,Another country,Female,South,Not Hispanic,White,"$250,000 and above","Completed some college, but no degree",TX,TX02,19,0,Biden,18-29,White,Upper income,Some College,Not working
Some of the time,Registered,Hillary Clinton,"No, I will not vote but I am eligible",Joe Biden,Liberal,Part-time employed,The United States,Female,South,Not Hispanic,"Black, or African American","Less than $14,999",High school graduate,OK,OK01,36,0,Biden,30-44,Black,Lower income,High School Graduate,Working
Hardly at all,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Not Sure,Unemployed or temporarily on layoff,The United States,Male,South,Not Hispanic,"Black, or African American","$40,000 to $44,999",High school graduate,TX,TX17,31,0,Biden,30-44,Black,Middle income,High School Graduate,Not working
Some of the time,Registered,Donald Trump,"No, I will not vote but I am eligible",Joe Biden,Moderate,Permanently disabled,The United States,Male,West,Not Hispanic,White,"Less than $14,999","Completed some college, but no degree",CA,CA23,41,0,Biden,30-44,White,Lower income,Some College,Not working
Some of the time,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Moderate,Retired,The United States,Male,Northeast,Other Hispanic,Some other race,"$45,000 to $49,999",High school graduate,NY,NY13,59,0,Biden,55-64,Others,Middle income,High School Graduate,Not working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Someone else,Not Sure,Full-time employed,The United States,Female,West,Mexican,Some other race,"$50,000 to $54,999",High school graduate,CA,CA46,25,0,Biden,18-29,Others,Middle income,High School Graduate,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Part-time employed,The United States,Male,Northeast,Not Hispanic,White,"$70,000 to $74,999",High school graduate,PA,PA06,65,1,Trump,65+,White,Middle income,High School Graduate,Working
Some of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Moderate,Part-time employed,The United States,Male,South,Not Hispanic,"Black, or African American","$20,000 to $24,999",Completed some high school,GA,GA05,48,0,Biden,45-54,Black,Lower income,High School Graduate,Working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Liberal,Part-time employed,The United States,Male,Midwest,Not Hispanic,White,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",OH,OH13,39,0,Biden,30-44,White,Middle income,College Degree,Working
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,Midwest,Not Hispanic,White,"$80,000 to $84,999",High school graduate,OH,OH10,66,1,Trump,65+,White,Middle income,High School Graduate,Not working
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$250,000 and above",Masters degree,NJ,NJ06,42,0,Biden,30-44,White,Upper income,Masters degree,Working
